id,user_id,type,title,body,link_url,read_at,created_at
1,41121918-8e3d-48a4-9100-0c2beefed9c1,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-23 17:46:45.27443
2,11ff8e22-02c8-4549-b46d-5203c8c1c918,welcome,Welcome to Travnr!,Your concierge call results have been linked to your account. Check your call history and proposals.,/call-history,,2026-02-25 04:15:45.558979
3,11ff8e22-02c8-4549-b46d-5203c8c1c918,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-25 04:19:40.405926
4,11ff8e22-02c8-4549-b46d-5203c8c1c918,call_completed,Concierge call completed,Your concierge call has been completed (1 min).,/call-history,,2026-02-25 04:21:08.9019
5,11ff8e22-02c8-4549-b46d-5203c8c1c918,proposal_received,New travel proposal ready,"Based on your concierge call, we've prepared a flight proposal for your trip to Miami.",/proposals/1,,2026-02-25 04:21:38.407686
6,11ff8e22-02c8-4549-b46d-5203c8c1c918,proposal_approved,Proposal approved,"You approved ""Trip to Miami"".",/proposals/1,,2026-02-25 04:23:55.244692
7,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,welcome,Welcome to Travnr!,Your concierge call results have been linked to your account. Check your call history and proposals.,/call-history,,2026-02-25 07:42:01.044951
8,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,proposal_received,Travel proposal in progress,We're working on your travel proposal. You'll receive flight options soon.,/proposals/2,,2026-02-25 07:42:04.449697
9,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-25 07:43:31.198703
10,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-25 07:45:46.70446
11,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-25 07:46:05.182318
12,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-25 07:46:59.964137
13,11ff8e22-02c8-4549-b46d-5203c8c1c918,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-25 13:44:29.305095
14,11ff8e22-02c8-4549-b46d-5203c8c1c918,call_completed,Concierge call completed,Your concierge call has been completed (1 min).,/call-history,,2026-02-25 13:46:14.103159
15,11ff8e22-02c8-4549-b46d-5203c8c1c918,proposal_received,Travel proposal in progress,We're working on your travel proposal. You'll receive flight options soon.,/proposals/3,,2026-02-25 13:46:15.087347
16,11ff8e22-02c8-4549-b46d-5203c8c1c918,proposal_approved,Proposal approved,"You approved ""Travel Concierge Proposal"".",/proposals/3,,2026-02-25 13:47:41.612603
17,11ff8e22-02c8-4549-b46d-5203c8c1c918,payment_confirmed,Payment confirmed,"Payment of $0 for ""Travel Concierge Proposal"" was successful.",/proposals/3,,2026-02-25 13:47:44.521896
18,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-25 17:12:38.399112
19,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-25 17:13:11.532308
20,11ff8e22-02c8-4549-b46d-5203c8c1c918,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-25 18:56:07.725648
21,11ff8e22-02c8-4549-b46d-5203c8c1c918,call_completed,Concierge call completed,Your concierge call has been completed.,/call-history,,2026-02-25 18:56:52.428357
22,11ff8e22-02c8-4549-b46d-5203c8c1c918,proposal_received,Travel proposal in progress,We're working on your travel proposal. You'll receive flight options soon.,/proposals/4,,2026-02-25 18:56:52.555935
23,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-25 20:02:26.107178
24,11ff8e22-02c8-4549-b46d-5203c8c1c918,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-25 21:07:11.888188
25,11ff8e22-02c8-4549-b46d-5203c8c1c918,call_completed,Concierge call completed,Your concierge call has been completed (1 min).,/call-history,,2026-02-25 21:09:15.348628
26,11ff8e22-02c8-4549-b46d-5203c8c1c918,proposal_received,Travel proposal in progress,We're working on your travel proposal. You'll receive flight options soon.,/proposals/5,,2026-02-25 21:09:18.660768
27,11ff8e22-02c8-4549-b46d-5203c8c1c918,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-26 02:11:11.754504
28,11ff8e22-02c8-4549-b46d-5203c8c1c918,call_completed,Concierge call completed,Your concierge call has been completed.,/call-history,,2026-02-26 02:12:27.409989
29,11ff8e22-02c8-4549-b46d-5203c8c1c918,proposal_received,Travel proposal in progress,We're working on your travel proposal. You'll receive flight options soon.,/proposals/6,,2026-02-26 02:12:30.19059
30,77b4340e-4898-4305-ba29-483db7d302d4,welcome,Welcome to Travnr!,Your concierge call results have been linked to your account. Check your call history and proposals.,/call-history,,2026-02-26 02:18:56.517878
31,77b4340e-4898-4305-ba29-483db7d302d4,proposal_received,New travel proposal ready,"Based on your concierge call, we've prepared a flight proposal for your trip to Los Angeles.",/proposals/7,,2026-02-26 02:19:08.835906
32,77b4340e-4898-4305-ba29-483db7d302d4,proposal_approved,Proposal approved,"You approved ""Trip to Los Angeles"".",/proposals/7,,2026-02-26 02:19:41.203395
33,41121918-8e3d-48a4-9100-0c2beefed9c1,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-26 02:44:32.2586
34,41121918-8e3d-48a4-9100-0c2beefed9c1,call_completed,Concierge call completed,Your concierge call has been completed.,/call-history,,2026-02-26 02:45:46.723447
35,41121918-8e3d-48a4-9100-0c2beefed9c1,proposal_received,New travel proposal ready,"Based on your concierge call, we've prepared a flight proposal for your trip to Miami.",/proposals/8,,2026-02-26 02:46:00.715217
36,41121918-8e3d-48a4-9100-0c2beefed9c1,proposal_approved,Proposal approved,"You approved ""Trip to Miami"".",/proposals/8,,2026-02-26 02:46:20.858897
37,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,call_request,Call request submitted,Your call request has been submitted.,/call-history,,2026-02-26 03:28:45.263755
38,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,call_completed,Concierge call completed,Your concierge call has been completed (1 min).,/call-history,,2026-02-26 03:30:35.510174
